video_id,video_name,channel_title,channel_id,published_at,thumbnail_url,type, depht
P8nUaqq3_d4,Colocamos um PAI DE UM FILHO LGBT e um EVANGÉLICO para conversar (sem que eles soubessem),Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-10-17T16:16:21.000Z,https://i.ytimg.com/vi/P8nUaqq3_d4/default.jpg,resultado de busca,1
cIqSjkOLRMw,CRIANÇA LGBT?!,Brenda Gasparoto,UCHiKP3dFr6c9wVoxHva_sLg,2019-08-04T21:00:53.000Z,https://i.ytimg.com/vi/cIqSjkOLRMw/default.jpg,resultado de busca,1
deSUhcOC_CE,Jair Bolsonaro fala sobre o movimento LGBT | Pânico,Pânico Jovem Pan,UC9U4nIDyIzzelXrjNQXNvxA,2016-12-16T18:19:53.000Z,https://i.ytimg.com/vi/deSUhcOC_CE/default.jpg,resultado de busca,1
VjnECFQE5ZA,VLOG PARADA LGBT SÃO PAULO l LGBT PRIDE BRAZIL #LGBTpride,Brenda Gasparoto,UCHiKP3dFr6c9wVoxHva_sLg,2019-06-25T21:00:03.000Z,https://i.ytimg.com/vi/VjnECFQE5ZA/default.jpg,resultado de busca,1
owOVbuhn4yc,LGBT Short film 2019| LUCY,Hester Douma,UCsCC6lydpNDceA-wMEPzIYQ,2019-01-02T23:29:05.000Z,https://i.ytimg.com/vi/owOVbuhn4yc/default.jpg,resultado de busca,1
DBV-4j-OgLU,Actually good (mostly LESBIAN) lgbt tik toks that make me feel even more gay,the sapphic side,UCciPkd5MZJZeiW0i7_h-YIw,2019-09-21T14:09:04.000Z,https://i.ytimg.com/vi/DBV-4j-OgLU/default.jpg,resultado de busca,1
6_BSijsrYGk,FOMOS PARA A PARADA LGBT DE LONDRINA! - Ela por Ela,Ela por Ela,UC5ylkh325Zo-5YY9zijQDqQ,2019-10-15T23:18:35.000Z,https://i.ytimg.com/vi/6_BSijsrYGk/default.jpg,resultado de busca,1
EYEMhCyq3yg,Um já foi PRESO. O outro atende à JUSTIÇA. Colocamos os dois pra conversar (sem que eles soubessem).,Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-06-15T11:19:39.000Z,https://i.ytimg.com/vi/EYEMhCyq3yg/default.jpg,video relacionado,2
t5s83aepS7s,Colocamos uma GAROTA DE PROGRAMA e um PASTOR EVANGÉLICO pra conversar (sem que eles soubessem disso),Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-06-08T16:03:28.000Z,https://i.ytimg.com/vi/t5s83aepS7s/default.jpg,video relacionado,2
73EVs3Qyj7o,"""Homens são privilegiados. Mude a minha opinião.""",Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-08-31T00:47:39.000Z,https://i.ytimg.com/vi/73EVs3Qyj7o/default.jpg,video relacionado,2
7-zUK7QBK_s,Jornal Jovem Pan - 17/10/19,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T15:01:05.000Z,https://i.ytimg.com/vi/7-zUK7QBK_s/default_live.jpg,video relacionado,2
qLj5JlQu4n8,Colocamos uma FEMINISTA e um ativista dos DIREITOS DOS HOMENS pra conversar (sem que eles soubessem),Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-06-19T01:50:19.000Z,https://i.ytimg.com/vi/qLj5JlQu4n8/default.jpg,video relacionado,2
rIrT4bfDESQ,Alexandre Frota e Rodrigo Maia em churrascão / STF e a prisão em 2ª instância,Bruno Jonssen,UCLdb4w1DEd_W0EycQCQYGUw,2019-10-16T22:55:37.000Z,https://i.ytimg.com/vi/rIrT4bfDESQ/default.jpg,video relacionado,2
F_HktdShwxA,CHICO XAVIER PREVIU A CHEGADA DE BOLSONARO A PRESIDÊNCIA?  CARTA PSICOGRAFADA EM 1952,Tio Lu,UCUA-pQmmsor1nWCqFRr-zSw,2018-09-14T18:50:21.000Z,https://i.ytimg.com/vi/F_HktdShwxA/default.jpg,video relacionado,2
Xb5w-At1EL4,Colocamos um ELEITOR DO LULA e um ELEITOR DO BOLSONARO pra conversar (sem que eles soubessem disso),Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-05-22T16:10:33.000Z,https://i.ytimg.com/vi/Xb5w-At1EL4/default.jpg,video relacionado,3
3Y0miT_C2x8,Uma alma em troca da outra | UM MÉDIUM NO VOLANTE | LIFETIME,Canal Lifetime Brasil,UCAomvoiooTUciF6Z7p0h8qg,2019-01-25T01:15:48.000Z,https://i.ytimg.com/vi/3Y0miT_C2x8/default.jpg,video relacionado,3
y3oW1AnL-Q0,O QUE VOCÊ FARIA SE VISSE UMA CRIANÇA SOZINHA NA RUA? | TESTE DO CORONATO,Elcio Coronato,UCZ1B11wWqFUVV6udanmqFJA,2016-07-01T20:55:42.000Z,https://i.ytimg.com/vi/y3oW1AnL-Q0/default.jpg,video relacionado,3
qQhtKncl3sA,Policial Militar recebe voz de prisão de Promotor em Pouso Alegre,Marcus Madeira,UC-s9NYvSmpkcJ24UqSZQOvQ,2015-03-06T17:25:11.000Z,https://i.ytimg.com/vi/qQhtKncl3sA/default.jpg,video relacionado,3
a00ZHkIMZKU,AO VIVO -STF julga prisão em 2ª instância,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T16:59:51.000Z,https://i.ytimg.com/vi/a00ZHkIMZKU/default_live.jpg,video relacionado,3
vRoSjtnMSsE,Você faz ideia de quem é Jair Bolsonaro?,Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-03-21T19:25:07.000Z,https://i.ytimg.com/vi/vRoSjtnMSsE/default.jpg,video relacionado,3
XQOQI1z6Zyk,이상형 10명 한번에 만나기,Solfa,UC6XZ4fmiUPQk6ws6fGs2rQg,2018-05-07T09:27:19.000Z,https://i.ytimg.com/vi/XQOQI1z6Zyk/default.jpg,video relacionado,3
jCUNex5JSCc,Juíza manda VERDADES na cara de adolescentes rebeldes! | TRATAMENTO DE CHOQUE | A&E,Canal A&E Brasil,UCqBZJr3hZPQZtXvf0RzaM0A,2019-08-23T16:01:40.000Z,https://i.ytimg.com/vi/jCUNex5JSCc/default.jpg,video relacionado,3
EYEMhCyq3yg,Um já foi PRESO. O outro atende à JUSTIÇA. Colocamos os dois pra conversar (sem que eles soubessem).,Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-06-15T11:19:39.000Z,https://i.ytimg.com/vi/EYEMhCyq3yg/default.jpg,video relacionado,3
z5yaZLpYXZU,"""Bolsonaro está fazendo um excelente governo. Mude a minha opinião.""",Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-08-14T11:02:08.000Z,https://i.ytimg.com/vi/z5yaZLpYXZU/default.jpg,video relacionado,3
a00ZHkIMZKU,AO VIVO -STF julga prisão em 2ª instância,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T16:59:51.000Z,https://i.ytimg.com/vi/a00ZHkIMZKU/default_live.jpg,video relacionado,3
wVXxDKmR1xQ,Fantástico - Mulheres são vistas como propriedades dos homens no Líbano - 29/06/2014,Kelana,UCVAKBHdf8N7H8fFooawXzGA,2014-06-30T16:13:53.000Z,https://i.ytimg.com/vi/wVXxDKmR1xQ/default.jpg,video relacionado,3
z5yaZLpYXZU,"""Bolsonaro está fazendo um excelente governo. Mude a minha opinião.""",Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-08-14T11:02:08.000Z,https://i.ytimg.com/vi/z5yaZLpYXZU/default.jpg,video relacionado,3
a00ZHkIMZKU,AO VIVO -STF julga prisão em 2ª instância,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T16:59:51.000Z,https://i.ytimg.com/vi/a00ZHkIMZKU/default_live.jpg,video relacionado,3
y3oW1AnL-Q0,O QUE VOCÊ FARIA SE VISSE UMA CRIANÇA SOZINHA NA RUA? | TESTE DO CORONATO,Elcio Coronato,UCZ1B11wWqFUVV6udanmqFJA,2016-07-01T20:55:42.000Z,https://i.ytimg.com/vi/y3oW1AnL-Q0/default.jpg,video relacionado,3
dSqOWvAzOps,Alexis Fonteyne - Pânico - 02/09/19,Pânico Jovem Pan,UC9U4nIDyIzzelXrjNQXNvxA,2019-09-02T18:39:10.000Z,https://i.ytimg.com/vi/dSqOWvAzOps/default.jpg,video relacionado,3
7FhxxzxOKEg,Colocamos um PSICÓLOGO TRANS e um PASTOR autodeclarado EX-GAY pra conversar (sem que eles soubessem),Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-08-07T15:29:05.000Z,https://i.ytimg.com/vi/7FhxxzxOKEg/default.jpg,video relacionado,3
r34uA4bCcqo,"""Fhoeristas e cyprianetes fedem"" - Paulo Kogos",Libertarianismo,UCYmHuI1yrP_pkSsJlQRCi1g,2019-05-31T00:21:43.000Z,https://i.ytimg.com/vi/r34uA4bCcqo/default.jpg,video relacionado,3
9YJ1O82he_o,DESCONSTRUÇÃO É O CARALH0,Newman LM,UCzmqDXarZ0_FQSFCdzadKnA,2019-09-13T00:45:35.000Z,https://i.ytimg.com/vi/9YJ1O82he_o/default.jpg,video relacionado,3
a00ZHkIMZKU,AO VIVO -STF julga prisão em 2ª instância,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T16:59:51.000Z,https://i.ytimg.com/vi/a00ZHkIMZKU/default_live.jpg,video relacionado,3
4QQ3KOGPIQ0,Assalto em Viracopos deixa dois baleados e fecha rodovia em Campinas,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T14:46:57.000Z,https://i.ytimg.com/vi/4QQ3KOGPIQ0/default.jpg,video relacionado,3
B41-ZOBOqj8,Centrão se une ao PT e CPI do BNDES está sendo esquecida,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T13:07:48.000Z,https://i.ytimg.com/vi/B41-ZOBOqj8/default.jpg,video relacionado,3
zGsBp1pPH-E,Investidores internacionais animados com o Brasil,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T12:23:26.000Z,https://i.ytimg.com/vi/zGsBp1pPH-E/default.jpg,video relacionado,3
K0E_DfUEQfo,Bombeiros confiram quarta morte após queda de prédio em Fortaleza,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T12:49:11.000Z,https://i.ytimg.com/vi/K0E_DfUEQfo/default.jpg,video relacionado,3
PNIcaZ5OldU,Constantino: Crise no PSL é disputa por poder e recursos,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T12:39:46.000Z,https://i.ytimg.com/vi/PNIcaZ5OldU/default.jpg,video relacionado,3
C3TIcdyPtRg,"Articulada por Bolsonaro, troca de líder do PSL na Câmara é mais novo capítulo de crise na sigla",Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T12:14:56.000Z,https://i.ytimg.com/vi/C3TIcdyPtRg/default.jpg,video relacionado,3
XQOQI1z6Zyk,이상형 10명 한번에 만나기,Solfa,UC6XZ4fmiUPQk6ws6fGs2rQg,2018-05-07T09:27:19.000Z,https://i.ytimg.com/vi/XQOQI1z6Zyk/default.jpg,video relacionado,3
t5s83aepS7s,Colocamos uma GAROTA DE PROGRAMA e um PASTOR EVANGÉLICO pra conversar (sem que eles soubessem disso),Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-06-08T16:03:28.000Z,https://i.ytimg.com/vi/t5s83aepS7s/default.jpg,video relacionado,3
jCUNex5JSCc,Juíza manda VERDADES na cara de adolescentes rebeldes! | TRATAMENTO DE CHOQUE | A&E,Canal A&E Brasil,UCqBZJr3hZPQZtXvf0RzaM0A,2019-08-23T16:01:40.000Z,https://i.ytimg.com/vi/jCUNex5JSCc/default.jpg,video relacionado,3
