source,source_name,target,target_name
cIqSjkOLRMw,CRIANÇA LGBT?!,tL_2Ln5-rOg,A Step - LGBTQ Short Film [love and pride] NHSI 2018
cIqSjkOLRMw,CRIANÇA LGBT?!,rSKGIEzkKVM,REAGINDO INSTAGRAM DE INSCRITAS!
cIqSjkOLRMw,CRIANÇA LGBT?!,VjnECFQE5ZA,VLOG PARADA LGBT SÃO PAULO l LGBT PRIDE BRAZIL #LGBTpride
cIqSjkOLRMw,CRIANÇA LGBT?!,V-qjbn53GZM,REAGINDO A FOTOS ANTES DA TRANSIÇÃO DE GENERO
cIqSjkOLRMw,CRIANÇA LGBT?!,0SJ7AK94dVs,RASPANDO O CABELO - P.LANDUCCI
deSUhcOC_CE,Jair Bolsonaro fala sobre o movimento LGBT | Pânico,ycs1rDFRV2o,O que Jair Bolsonaro e Donald Trump tem em comum? | Pânico
deSUhcOC_CE,Jair Bolsonaro fala sobre o movimento LGBT | Pânico,7FhxxzxOKEg,Colocamos um PSICÓLOGO TRANS e um PASTOR autodeclarado EX-GAY pra conversar (sem que eles soubessem)
deSUhcOC_CE,Jair Bolsonaro fala sobre o movimento LGBT | Pânico,UJaYZls7E9g,Os Melhores Momentos do Pânico no rádio #62 (Especial C/ Batoré)
deSUhcOC_CE,Jair Bolsonaro fala sobre o movimento LGBT | Pânico,N07HhWU0idw,ASSISTA: GENERAL MOURÃO FAZ PRONUNCIAMENTO CONTUNDENTE - GOVERNO BOLSONARO
deSUhcOC_CE,Jair Bolsonaro fala sobre o movimento LGBT | Pânico,Z1oGuNkGV2g,Bolsonaro fala sobre o sangue dos homossexuais
VjnECFQE5ZA,VLOG PARADA LGBT SÃO PAULO l LGBT PRIDE BRAZIL #LGBTpride,tE-1MDrBti4,CAUSAMOS NA PARADA GAY 2018!
VjnECFQE5ZA,VLOG PARADA LGBT SÃO PAULO l LGBT PRIDE BRAZIL #LGBTpride,594GUPbMiKc,A FALTA DE ATITUDE FEMININA!
VjnECFQE5ZA,VLOG PARADA LGBT SÃO PAULO l LGBT PRIDE BRAZIL #LGBTpride,sWCsQNm3ug8,LEVEI MEU NAMORADO PARA SUPERAR O MEDO DE ALTURA
VjnECFQE5ZA,VLOG PARADA LGBT SÃO PAULO l LGBT PRIDE BRAZIL #LGBTpride,ceKPnHAT06M,PAQUEREI A RAFA DO #SAPATOUR
VjnECFQE5ZA,VLOG PARADA LGBT SÃO PAULO l LGBT PRIDE BRAZIL #LGBTpride,oVTpTRORWaM,COMO SER ESTILOSO(A) GASTANDO POUCO!
owOVbuhn4yc,LGBT Short film 2019| LUCY,6kHjhSxsLqQ,A GIRL FROM BEACON RIDGE - LGBT Short Film
owOVbuhn4yc,LGBT Short film 2019| LUCY,p9qRz4IiVOc,Kadena - I want more of you
owOVbuhn4yc,LGBT Short film 2019| LUCY,fSIuJ2xsVDs,Cris & Joana | Girls Like You
owOVbuhn4yc,LGBT Short film 2019| LUCY,Rn0PGbVd8CY,Selección de escenas de Without Men sub español
owOVbuhn4yc,LGBT Short film 2019| LUCY,vWMGmvFkRSA,25# NAMORANDO A AMIGA [fanfic] - FINAL
ujNpV-KkdO0,P.RESPONDE LGBT 1# - P.LANDUCCI,t-R5dK_SBf8,P.RESPONDE LGBT PART.2 - P.LANDUCCI
ujNpV-KkdO0,P.RESPONDE LGBT 1# - P.LANDUCCI,xmQ_F800TQc,TOUR PELO QUARTO DE UM CASAL LÉSBICO - #TOURQUARTO #NOSSOQUARTO #OXEMÃEÉSUANORA
ujNpV-KkdO0,P.RESPONDE LGBT 1# - P.LANDUCCI,3Q0I3ELT4Kw,PARADA LGBT - DESBOCADA NA RUA
