video_id,video_name,channel_title,channel_id,published_at,thumbnail_url,type
AqR1KBhVvL8,Banheira De Nutella (ULTIMATE),Luccas Neto Antigo,UClZ6fWQ87gImd-hCE0kKTog,2019-03-05T17:16:08.000Z,https://i.ytimg.com/vi/AqR1KBhVvL8/default.jpg,resultado de busca
z6tFkq2WtTI,Bathing in 600 lbs of Nutella,Cemre,UCTYPI3osBN9nGTSbYGm0rIQ,2016-09-30T19:18:23.000Z,https://i.ytimg.com/vi/z6tFkq2WtTI/default.jpg,video relacionado
0me2NyqR7A4,PADARIA FERRAGENS,Parafernalha,UCddYq41_tZ1FnLlguLT6-Ow,2013-06-08T11:43:57.000Z,https://i.ytimg.com/vi/0me2NyqR7A4/default.jpg,video relacionado
sytdZq2xmdg,10 TOBOÁGUAS MAIS RADICAIS DO MUNDO!,Felipe Neto,UCV306eHqgo0LvBf3Mh36AHg,2018-07-04T20:47:21.000Z,https://i.ytimg.com/vi/sytdZq2xmdg/default.jpg,video relacionado
ZryoRM4Zcpc,MEU FIDGET SPINNER MÁGICO (Parte 1),Maria Clara & JP,UCKe6w0exI94U-RzqAyoY1VA,2017-12-28T01:38:28.000Z,https://i.ytimg.com/vi/ZryoRM4Zcpc/default.jpg,video relacionado
jH402JKroV8,12 QUASE MORTES FILMADAS POR GOPRO E CÂMERAS,Você Sabia?,UCj0O6W8yDuLg3iraAXKgCrQ,2018-04-22T17:39:09.000Z,https://i.ytimg.com/vi/jH402JKroV8/default.jpg,video relacionado
heYc6xK247U,A VIDA DE MARIVALDA - Marivalda faz seu irmão de escravo ( EPISÓDIO 7 ),Henrique Nemes,UC-4TwmWQShd0R6YZ_HJ0NfA,2018-04-24T04:46:25.000Z,https://i.ytimg.com/vi/heYc6xK247U/default.jpg,video relacionado
-uf-xobjTBU,OS 5 LUGARES MAIS DOLOROSOS DO CORPO PARA TATUAGEM,Felipe Neto,UCV306eHqgo0LvBf3Mh36AHg,2018-09-24T12:43:25.000Z,https://i.ytimg.com/vi/-uf-xobjTBU/default.jpg,video relacionado
ZA5CuAavcq4,DESAFIO DA BANHEIRA DE LISTERINE !! ( 100 LITROS ) [ REZENDE EVIL ],rezendeevil,UCbTVTephX30ZhQF5zwFppBg,2017-11-15T18:19:43.000Z,https://i.ytimg.com/vi/ZA5CuAavcq4/default.jpg,video relacionado
JApXgvWde1Y,PEGADINHAS MAIS INCRÍVEIS DO MUNDO,Felipe Neto,UCV306eHqgo0LvBf3Mh36AHg,2018-07-22T11:56:17.000Z,https://i.ytimg.com/vi/JApXgvWde1Y/default.jpg,video relacionado
uSxarJIX0LY,FIZ UMA PONTE DE PISCINA COM TATAME E CORRI EM CIMA DELA,LUCCAS NETO - LUCCAS TOON,UC_gV70G_Y51LTa3qhu8KiEA,2018-05-16T11:41:45.000Z,https://i.ytimg.com/vi/uSxarJIX0LY/default.jpg,video relacionado
PbG2RuQsAO4,Chilli Eating Contest Bath Chilli Festival Sat 26 Sept 2015,Clifton Chilli Club,UCDLqJTA7dTQG2kCB2T266_w,2015-09-27T13:46:10.000Z,https://i.ytimg.com/vi/PbG2RuQsAO4/default.jpg,video relacionado
CFKkAWS3hD0,Rasputia causes mayhem at the waterpark,metaknightdemon,UCVo70e-w_kesdK8m_rdv6fg,2018-04-01T20:10:00.000Z,https://i.ytimg.com/vi/CFKkAWS3hD0/default.jpg,video relacionado
7gcl6t7P3qw,The Floor is Lava,RocketJump,UCDsO-0Yo5zpJk575nKXgMVA,2017-09-13T02:54:19.000Z,https://i.ytimg.com/vi/7gcl6t7P3qw/default.jpg,video relacionado
